(-284.1, 395.2)
(-285.85, 398.7)
(-285.0, 396.758056640625)
(-286.7, 400.5)
(-287.6494140625, 402.758056640625)
(-288.6494140625, 405.758056640625)
(-289.493133544921, 407.9544677734375)
(-290.138977050781, 409.8473205566406)
(-290.784790039062, 411.74017333984375)
(-291.430633544921, 413.633056640625)
(-292.076446533203, 415.5259094238281)
(-292.722290039062, 417.41876220703125)
(-293.368103027343, 419.3116149902344)
(-294.013946533203, 421.2044677734375)
(-294.659759521484, 423.0973205566406)
(-295.305603027343, 424.99017333984375)
(-295.951416015625, 426.883056640625)
(-296.597259521484, 428.7759094238281)
(-297.243072509765, 430.66876220703125)
(-297.888916015625, 432.5616149902344)
(-298.534729003906, 434.4544677734375)
(-299.180572509765, 436.3473205566406)
(-299.826385498046, 438.24017333984375)
(-300.419982910156, 439.97998046875)
(-301.065826416015, 441.8728332519531)
(-301.711639404296, 443.76568603515625)
(-302.357482910156, 445.6585388183594)
(-303.003295898437, 447.5513916015625)
(-303.649139404296, 449.44427490234375)
(-304.294952392578, 451.3371276855469)
(-304.940795898437, 453.22998046875)
(-305.586608886718, 455.1228332519531)
(-306.232452392578, 457.01568603515625)
(-306.878265380859, 458.9085388183594)
(-307.524108886718, 460.8013916015625)
(-308.169921875, 462.6942443847656)
(-308.815765380859, 464.5871276855469)
(-309.46157836914, 466.47998046875)
(-310.107360839843, 468.37286376953125)
(-310.746337890625, 470.26800537109375)
(-311.374267578125, 472.1669006347656)
(-311.991058349609, 474.06939697265625)
(-312.596771240234, 475.9754638671875)
(-313.191314697265, 477.88507080078125)
(-313.774688720703, 479.798095703125)
(-314.346893310546, 481.7144775390625)
(-314.907897949218, 483.6341857910156)
(-315.45767211914, 485.55712890625)
(-315.996215820312, 487.4832458496094)
(-316.523498535156, 489.4124755859375)
(-317.039489746093, 491.34478759765625)
(-317.544189453125, 493.280029296875)
(-318.03759765625, 495.2182312011719)
(-318.519653320312, 497.1592712402344)
(-318.99038696289, 499.10308837890625)
(-319.449737548828, 501.0495910644531)
(-319.897735595703, 502.998779296875)
(-320.334320068359, 504.9505615234375)
(-320.759521484375, 506.9048156738281)
(-321.173278808593, 508.8615417480469)
(-321.575622558593, 510.8206787109375)
(-321.966491699218, 512.7821044921875)
(-322.345916748046, 514.7457885742188)
(-322.7138671875, 516.7116088867188)
(-323.0703125, 518.6796264648438)
(-323.415252685546, 520.649658203125)
(-323.748718261718, 522.6216430664062)
(-324.070617675781, 524.5955810546875)
(-324.38101196289, 526.5712890625)
(-324.678466796875, 528.549072265625)
(-324.961364746093, 530.5289916992188)
(-325.229675292968, 532.5109252929688)
(-325.4833984375, 534.4947509765625)
(-325.722503662109, 536.4804077148438)
(-325.947021484375, 538.4677124023438)
(-326.15689086914, 540.4566650390625)
(-326.352142333984, 542.4471435546875)
(-326.53271484375, 544.43896484375)
(-326.698638916015, 546.4320678710938)
(-326.849914550781, 548.4263305664062)
(-326.98648071289, 550.421630859375)
(-327.108367919921, 552.4179077148438)
(-327.215576171875, 554.4150390625)
(-327.30810546875, 556.4129028320312)
(-327.38589477539, 558.411376953125)
(-327.449005126953, 560.410400390625)
(-327.497375488281, 562.4097900390625)
(-327.531066894531, 564.4094848632812)
(-327.550048828125, 566.409423828125)
(-327.554290771484, 568.409423828125)
(-327.543823242187, 570.4093627929688)
(-327.518646240234, 572.4092407226562)
(-327.478759765625, 574.4088134765625)
(-327.424133300781, 576.4080810546875)
(-327.354827880859, 578.4068603515625)
(-327.270812988281, 580.4050903320312)
(-327.172088623046, 582.4026489257812)
(-327.058685302734, 584.3994140625)
(-326.930603027343, 586.3953247070312)
(-326.793182373046, 588.3905639648438)
(-326.655670166015, 590.3858032226562)
(-326.518127441406, 592.381103515625)
(-326.380584716796, 594.3763427734375)
(-326.243072509765, 596.37158203125)
(-326.105529785156, 598.3668823242188)
(-325.967987060546, 600.3621215820312)
(-325.830474853515, 602.357421875)
(-325.691436767578, 604.3526000976562)
(-325.541931152343, 606.3469848632812)
(-325.38052368164, 608.3404541015625)
(-325.20718383789, 610.3329467773438)
(-325.02197265625, 612.3243408203125)
(-324.824829101562, 614.3145751953125)
(-324.615844726562, 616.3036499023438)
(-324.394927978515, 618.2913818359375)
(-324.162170410156, 620.27783203125)
(-323.917541503906, 622.2628173828125)
(-323.661041259765, 624.2462768554688)
(-323.392700195312, 626.2282104492188)
(-323.112548828125, 628.2084350585938)
(-322.820526123046, 630.18701171875)
(-322.516723632812, 632.163818359375)
(-322.201080322265, 634.1387329101562)
(-321.873657226562, 636.1117553710938)
(-321.534454345703, 638.082763671875)
(-321.183471679687, 640.0517578125)
(-320.820739746093, 642.0185546875)
(-320.446258544921, 643.9832153320312)
(-320.06005859375, 645.945556640625)
(-319.662109375, 647.9055786132812)
(-319.252471923828, 649.8631591796875)
(-318.831146240234, 651.8182373046875)
(-318.398162841796, 653.7708129882812)
(-317.953491210937, 655.7207641601562)
(-317.497192382812, 657.6680297851562)
(-317.029052734375, 659.6124877929688)
(-316.541839599609, 661.5521850585938)
(-316.031799316406, 663.486083984375)
(-315.4990234375, 665.4137573242188)
(-314.943603515625, 667.3350830078125)
(-314.365539550781, 669.2496948242188)
(-313.765014648437, 671.1574096679688)
(-313.142028808593, 673.0579223632812)
(-312.496673583984, 674.950927734375)
(-311.8291015625, 676.836181640625)
(-311.139343261718, 678.7135009765625)
(-310.427551269531, 680.58251953125)
(-309.693786621093, 682.4430541992188)
(-308.938110351562, 684.2947998046875)
(-308.160705566406, 686.1375122070312)
(-307.361663818359, 687.970947265625)
(-306.541076660156, 689.7947998046875)
(-305.699035644531, 691.60888671875)
(-304.835693359375, 693.4129638671875)
(-303.951171875, 695.2067260742188)
(-303.045593261718, 696.9899291992188)
(-302.119049072265, 698.7623291015625)
(-301.171691894531, 700.5237426757812)
(-300.203674316406, 702.2738647460938)
(-299.215087890625, 704.012451171875)
(-298.206085205078, 705.7392578125)
(-297.176818847656, 707.4540405273438)
(-296.12744140625, 709.1566162109375)
(-295.058074951171, 710.8466796875)
(-293.979766845703, 712.5310668945312)
(-292.901458740234, 714.2155151367188)
(-291.82241821289, 715.8994140625)
(-290.737579345703, 717.5797119140625)
(-289.646026611328, 719.2554931640625)
(-288.547790527343, 720.927001953125)
(-287.44287109375, 722.5941162109375)
(-286.331298828125, 724.2567138671875)
(-285.213073730468, 725.9149169921875)
(-284.088256835937, 727.568603515625)
(-282.956787109375, 729.2178344726562)
(-281.818756103515, 730.8624877929688)
(-280.674163818359, 732.5025634765625)
(-279.523010253906, 734.1380615234375)
(-278.365325927734, 735.7689208984375)
(-277.201110839843, 737.3951416015625)
(-276.03042602539, 739.0167236328125)
(-274.853240966796, 740.633544921875)
(-273.669616699218, 742.2457275390625)
(-272.479553222656, 743.8531494140625)
(-271.283050537109, 745.4557495117188)
(-270.080169677734, 747.0535888671875)
(-268.870880126953, 748.6466064453125)
(-267.655242919921, 750.2347412109375)
(-266.43325805664, 751.8179931640625)
(-265.204956054687, 753.3963623046875)
(-263.97036743164, 754.9698486328125)
